Country Name,Country Code,Year,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Region,IncomeGroup,Primary_to_Secondary_Drop,Secondary_to_Tertiary_Drop,Survival_Prim_to_Sec,Survival_Sec_to_Tert,Education_Survival_Index,Primary_Enrollment_YoY,Secondary_Enrollment_YoY,Tertiary_Enrollment_YoY,Dropout_Risk_Level
Afghanistan,AFG,2000,21.4578495025635,14.0404100418091,1.37434995174408,Middle East & North Africa,Low income,7.417439460754402,12.66606009006502,65.43251242456395,9.788531443537497,37.61052193405072,,,,Low Risk
Afghanistan,AFG,2001,22.1396503448486,14.0404100418091,1.37434995174408,Middle East & North Africa,Low income,8.099240303039501,12.66606009006502,63.41748773406436,9.788531443537497,36.60300958880093,0.6818008422850994,0.0,0.0,Low Risk
Afghanistan,AFG,2002,73.4013137817383,14.0404100418091,1.37434995174408,Middle East & North Africa,Low income,59.3609037399292,12.66606009006502,19.128281659315817,9.788531443537497,14.458406551426657,51.26166343688969,0.0,0.0,Low Risk
Afghanistan,AFG,2003,95.3357467651367,13.959529876709,1.37434995174408,Middle East & North Africa,Low income,81.3762168884277,12.58517992496492,14.64249282181514,9.845245247385702,12.24386903460042,21.93443298339841,-0.08088016510009943,0.0,Low Risk
Afghanistan,AFG,2004,105.475051879883,19.2143802642822,1.39064002037048,Middle East & North Africa,Low income,86.2606716156008,17.823740243911722,18.21699057912188,7.237496090131798,12.72724333462684,10.139305114746293,5.254850387573201,0.016290068626400034,Low Risk
Afghanistan,AFG,2005,99.50390625,20.2735099792481,1.39064002037048,Middle East & North Africa,Low income,79.2303962707519,18.88286995887762,20.374587032102674,6.859394460031512,13.616990746067094,-5.971145629882997,1.0591297149658985,0.0,Low Risk
Afghanistan,AFG,2006,102.284866333008,29.523889541626,1.39064002037048,Middle East & North Africa,Low income,72.76097679138199,28.13324952125552,28.864377106878468,4.710219561043283,16.787298333960877,2.7809600830079972,9.250379562377901,0.0,Moderate Risk
Afghanistan,AFG,2007,99.3228988647461,28.8154907226562,1.39064002037048,Middle East & North Africa,Low income,70.5074081420899,27.42485070228572,29.01193083570383,4.826015401768218,16.918973118736023,-2.9619674682619035,-0.7083988189698012,0.0,Moderate Risk
Afghanistan,AFG,2008,104.445137023926,38.930850982666,1.39064002037048,Middle East & North Africa,Low income,65.51428604126,37.54021096229552,37.27397185926218,3.57207711947952,20.423024489370853,5.122238159179901,10.115360260009801,0.0,Moderate Risk
Afghanistan,AFG,2009,99.7054214477539,44.2999496459961,3.93815994262695,Middle East & North Africa,Low income,55.405471801757805,40.36178970336915,44.43083335163422,8.889761668121642,26.660297509877932,-4.739715576172088,5.369098663330099,2.5475199222564697,Moderate Risk
Afghanistan,AFG,2010,103.48560333252,50.4406204223633,3.93815994262695,Middle East & North Africa,Low income,53.0449829101567,46.50246047973635,48.74167884037693,7.80751685774454,28.274597849060733,3.780181884766094,6.140670776367202,0.0,Moderate Risk
Afghanistan,AFG,2011,101.542083740234,52.4474296569824,3.68686008453369,Middle East & North Africa,Low income,49.094654083251605,48.76056957244871,51.6509290779909,7.029629685661541,29.34027938182622,-1.9435195922859947,2.006809234619098,-0.25129985809325994,Moderate Risk
Afghanistan,AFG,2012,106.575317382812,54.372859954834,3.68686008453369,Middle East & North Africa,Low income,52.202457427978004,50.68599987030031,51.018248211759975,6.780699208384957,28.899473710072467,5.033233642577997,1.925430297851598,0.0,High Risk
Afghanistan,AFG,2013,107.942840576172,54.8833694458008,3.68686008453369,Middle East & North Africa,Low income,53.0594711303712,51.19650936126711,50.84484450552444,6.717627073123836,28.78123578932414,1.3675231933600003,0.510509490966804,0.0,High Risk
Afghanistan,AFG,2014,109.829452514648,54.2936515808105,8.39764022827148,Middle East & North Africa,Low income,55.5358009338375,45.89601135253902,49.434509903952524,15.467075769940541,32.45079283694653,1.886611938475994,-0.5897178649903054,4.710780143737791,Moderate Risk
Afghanistan,AFG,2015,106.773551940918,53.1501083374023,8.39764022827148,Middle East & North Africa,Low income,53.623443603515696,44.75246810913082,49.778346202074786,15.799855336065177,32.78910076906998,-3.05590057373,-1.143543243408196,0.0,Moderate Risk
Afghanistan,AFG,2016,106.784042358398,53.4350395202637,8.39764022827148,Middle East & North Africa,Low income,53.3490028381343,45.037399291992216,50.040285364849105,15.715605908903497,32.8779456368763,0.010490417479999792,0.2849311828613992,0.0,Moderate Risk
Afghanistan,AFG,2017,106.54354095459,55.5364303588867,8.39764022827148,Middle East & North Africa,Low income,51.0071105957033,47.13879013061522,52.12557219452366,15.120957854158748,33.62326502434121,-0.2405014038079969,2.101390838622997,0.0,Moderate Risk
Afghanistan,AFG,2018,107.687660217285,57.3578491210938,9.99592018127441,Middle East & North Africa,Low income,50.3298110961912,47.36192893981939,53.26315847643169,17.427292575373666,35.34522552590268,1.1441192626949999,1.8214187622071023,1.5982799530029297,Moderate Risk
Afghanistan,AFG,2019,109.075309753418,57.3578491210938,9.99592018127441,Middle East & North Africa,Low income,51.7174606323242,47.36192893981939,52.58554777498253,17.427292575373666,35.0064201751781,1.3876495361329972,0.0,0.0,Moderate Risk
Afghanistan,AFG,2020,109.075309753418,57.3578491210938,10.85435962677,Middle East & North Africa,Low income,51.7174606323242,46.5034894943238,52.58554777498253,18.923930714093366,35.754739244537944,0.0,0.0,0.8584394454955895,Moderate Risk
Albania,ALB,2002,110.338920593262,74.5389175415039,16.3895606994629,Europe & Central Asia,Upper middle income,35.8000030517581,58.149356842041,67.55451035838367,21.987924214672226,44.77121728652794,,,,High Risk
Albania,ALB,2003,107.598258972168,77.751823425293,16.3662395477295,Europe & Central Asia,Upper middle income,29.846435546875,61.3855838775635,72.26122817229296,21.04933212718133,46.655280149737145,-2.740661621094006,3.212905883789091,-0.02332115173340199,High Risk
Albania,ALB,2004,104.131721496582,78.9801864624023,19.1295795440674,Europe & Central Asia,Upper middle income,25.1515350341797,59.850606918334904,75.84642347912661,24.220732313887154,50.033577896506884,-3.4665374755859943,1.228363037109304,2.7633399963379013,High Risk
Albania,ALB,2005,107.016143798828,82.9714279174805,22.389009475708,Europe & Central Asia,Upper middle income,24.0447158813475,60.5824184417725,77.53169285696984,26.983999236429995,52.25784604669992,2.8844223022459943,3.991241455078196,3.2594299316406,High Risk
Albania,ALB,2006,105.477783203125,84.3257675170898,26.2101001739502,Europe & Central Asia,Upper middle income,21.1520156860352,58.115667343139606,79.94647304513268,31.08195862983204,55.51421583748236,-1.538360595702997,1.354339599609304,3.821090698242198,High Risk
Albania,ALB,2007,103.488441467285,86.2188568115234,30.2319297790527,Europe & Central Asia,Upper middle income,17.269584655761605,55.986927032470696,83.31254736189943,35.06417377481641,59.18836056835792,-1.98934173584,1.8930892944335938,4.0218296051025,High Risk
Albania,ALB,2008,100.383003234863,87.8338394165039,31.6839599609375,Europe & Central Asia,Upper middle income,12.54916381835909,56.149879455566406,87.49871650183826,36.072611844614535,61.785664173226394,-3.105438232422003,1.6149826049805114,1.4520301818848012,High Risk
Albania,ALB,2009,100.923736572266,89.3157196044922,32.9239883422852,Europe & Central Asia,Upper middle income,11.608016967773793,56.391731262207,88.49822909651989,36.86247895452131,62.6803540255206,0.5407333374029974,1.4818801879882955,1.2400283813476989,High Risk
Albania,ALB,2010,99.8618342722087,93.6818237304688,43.3279304504395,Europe & Central Asia,Upper middle income,6.18001054173989,50.353893280029304,93.81143898789793,46.250092840952725,70.03076591442533,-1.061902300057298,4.366104125976605,10.403942108154304,High Risk
Albania,ALB,2011,101.580273662891,95.4705276489258,49.3997040639925,Europe & Central Asia,Upper middle income,6.109746013965207,46.070823584933294,93.98530266393918,51.74340739547419,72.86435502970669,1.7184393906823061,1.7887039184569886,6.071773613552999,Moderate Risk
Albania,ALB,2012,102.067360891559,97.6086120605469,58.6214186004979,Europe & Central Asia,Upper middle income,4.458748831012102,38.987193460049006,95.63156253667685,60.05762950930483,77.84459602299084,0.4870872286680026,2.138084411621108,9.221714536505395,Moderate Risk
Albania,ALB,2013,101.474954848321,102.903209514161,63.8440585382953,Europe & Central Asia,Upper middle income,-1.4282546658400008,39.059150975865705,101.40749475372999,62.04282533044746,81.72516004208873,-0.5924060432380003,5.294597453614102,5.222639937797403,Moderate Risk
Albania,ALB,2014,105.770581813858,103.321377531566,65.5507096860696,Europe & Central Asia,Upper middle income,2.4492042822920013,37.770667845496405,97.68441825667342,63.44351116112734,80.56396470890039,4.2956269655369965,0.41816801740499443,1.706651147774295,Moderate Risk
